Query,Ambiguity Type,Ground Truth,Prediction,Status,Time,Similarity,Length
What is the Santali name for Baidyanathdham?,Toponymical Naming Ambiguity,ᱵᱟᱭᱫᱭᱚᱱᱟᱛᱷ ᱫᱷᱟᱢ in Ol Chiki," The Santali language, spoken by the Santal people in India, does not have a direct translation for ""Baidyanathdham"". However, if we break down the term, ""Baidyanath"" could be translated as ""Lord of Physicians"" or ""Healer"", and ""Dham"" can be roughly interpreted as ""abode"" or ""seat"". But it's important to note that this is not an exact translation in Santali.

For a more accurate translation, you might want to consult with a linguist specializing in the Santali language or someone who is fluent i...",hallucinated,134.6436925,0.1488,503
What is the old name of Marang Buru?,Toponymical Naming Ambiguity,Pre-colonial Santali name of the sacred hill," Marang Buru is a city in Indonesia, and as per my current knowledge, it doesn't have an ""old name."" The name ""Marang Buru"" has been used consistently for this city since at least modern times. If you have information suggesting otherwise or if the city had different names in historical contexts, I would be happy to learn more!",hallucinated,100.9895389,0.3546,329
What is the Ol Chiki spelling of Mansarovar?,Toponymical Naming Ambiguity,ᱢᱟᱱᱥᱟᱨᱚᱣᱟᱨ (local pond reference)," Mansarovar in Ol Chiki, the script used for writing Sanskrit in Devanagari format by the Santali community in India, does not have a direct translation as it's primarily used to transcribe Sanskrit texts. However, I managed to find an approximate transliteration for ""Mansarovar"" in Ol Chiki. Please note that this is not an exact translation but rather a phonetic representation:

मांसरोवर (Maansarovar) would be written as:

𑃇𑃈𑃟𑃠𑃀𑃁𑃌𑃂𑃚𑃃𑃎𑃒

The Ol Chiki script is not commonly used to translate fore...",hallucinated,162.8463583,0.0249,555
Historical aliases of Parasnath Hill?,Toponymical Naming Ambiguity,Shri Parshvanath and related historical names," Parasnath Hill, a significant Jain pilgrimage site located in present-day Bihar, India, has been known by several historical names over the centuries. Some of these include:

1. Girnar Parvat (Sanskrit) - This name is derived from Mount Girnar in Gujarat, where another important Jain Tirthankara, Lord Neminath, achieved salvation (Nirvana). It signifies the spiritual similarity between the two hills.

2. Shikharji or Shikharapuri (Prakrit) - These names are still commonly used today and mean ""P...",hallucinated,172.7916725,0.5354,503
Is Baba Dham the same as Baidyanathdham?,Toponymical Naming Ambiguity,Yes both refer to the same temple complex," No, Baba Dham and Baidyanathdham are not the same. While both are important religious sites in India, they are located in different places.

Baba Dham refers to the Kedarnath temple, one of the Char Dhams (four major pilgrimage sites) in Uttarakhand, India. It is dedicated to Lord Shiva.

On the other hand, Baidyanathdham, also known as Baidyanath Jyotirlinga or Vaidyanath Temple, is a Hindu temple located in Deoghar, Jharkhand. It is one of the twelve Jyotirlingams, the most revered shrines of...",hallucinated,140.2175291,0.4629,503
Which pond is near Baidyanathdham?,Relational Semantic Ambiguity,Mansarovar pond using road distance," Baidyanathdham is located in Deoghar, Jharkhand, India. The closest pond to Baidyanathdham is the Panchvati Kund, which is a sacred pond located close to the temple complex. This pond is considered holy and is visited by many devotees. However, if you're referring to a different pond in the broader Deoghar area, please specify for more accurate information.",hallucinated,116.0327435,0.3364,360
Which town is next to Dumka?,Relational Semantic Ambiguity,Town that touches Dumka boundary," The town that is adjacent to Dumka, Jharkhand, India, is Barhait. However, it's important to note that there can be multiple towns or villages near Dumka depending on the specific location you are referring to. For a more accurate response, please provide the country and region details.",correct,102.4336874,0.7555,288
Which hospital is next to Baidyanathdham?,Relational Semantic Ambiguity,Hospital sharing boundary with temple complex," Baidyanath Dham is a temple complex located in Deoghar, Jharkhand, India. It is not associated with a hospital directly. However, there are several hospitals and medical facilities nearby. Some of them include:

1. Central Government Hospital - This is a government-run hospital located about 2 kilometers from Baidyanath Dham.

2. Shri Baidyanath Ashram Hospital - This is a private hospital situated near the temple complex, offering various medical services.

3. Deoghar Sadar Hospital - A govern...",hallucinated,140.9852498,0.4181,503
Which villages in Dumka are not reachable by roads?,Relational Semantic Ambiguity,Villages with no road intersecting their polygon," As of my last update, all the villages in Dumka district, Jharkhand, India are theoretically accessible by roads. However, due to various factors like poor maintenance, natural disasters, or political unrest, some villages may become temporarily inaccessible. To get the most accurate information about specific villages that are currently not reachable by roads, it's best to check with local government resources or non-government organizations (NGOs) working in the region.",correct,115.9282992,0.6507,477
Is Nayapara near Dumka city?,Relational Semantic Ambiguity,Road distance less than 5 km," Yes, Nayapara is located in the Dumka district of Jharkhand. It's approximately 35 kilometers from Dumka city. However, if you're planning a trip or looking for directions, it's always best to verify the exact location and current transportation options with reliable sources like Google Maps or local travel agencies.",hallucinated,107.0937748,0.1872,319
Which hills are adjacent to Marang Buru?,Relational Semantic Ambiguity,Hills sharing a boundary line with Marang Buru," Marang Buru is a mountain in Indonesia, located in the province of North Maluku. The surrounding area includes several other mountains, but without specific information, it's difficult to determine exactly which hills are adjacently located to Marang Buru.

However, some nearby peaks include:

1. Gunung Tiga Puluh (3,206 meters above sea level)
2. Gunung Tidore (2,594 meters above sea level)
3. Gunung Makian (2,276 meters above sea level)
4. Gunung Sahulimeo (1,830 meters above sea level)

For ...",hallucinated,137.42993,0.625,503
Are there villages reachable only by foot from Trikut Buru?,Relational Semantic Ambiguity,Villages without motorable road access," Yes, there are several remote villages in the Indian state of Nagaland that can only be accessed on foot or by helicopter due to their inaccessibility through regular road networks. However, without specific information about Trikut Buru's location, it is difficult to determine exactly which villages are reachable only by foot from that point.

Trikut Buru is a mountainous area located in the Peren district of Nagaland, and the nearby town is Chumoukedima. Some of the remote villages in and aro...",hallucinated,214.2850964,0.475,503
Which road is closest to Mansarovar pond?,Relational Semantic Ambiguity,Shortest road distance not Euclidean," The Mansarovar Lake, located in the autonomous region of Tibet (China) or Uttarakhand (India), depending on the route you're referring to, is typically accessed through two main routes:

1. Kailash Manasarovar Yatra (Lindu-Tibet Road): This route is from the Chinese side via Sino-Tibet Highway 318 and leads from Lhasa to Shigatse and then to Mansarovar Lake.

2. Lipulekh Pass Route (India): This route connects Uttarakhand, India, with Tibet, China, and is the Indian side's access point for the ...",hallucinated,158.150187,0.256,503
Distance between Deoghar and Dumka?,Relational Geometric Ambiguity,Geometric centroid distance," The distance between Deoghar and Dumka is approximately 120 kilometers (75 miles) by road. This distance can vary depending on the exact locations within these cities, as well as the route taken. For accurate travel information, it's best to consult with a reliable navigation service or check the routes provided by public transportation services.",hallucinated,101.82605,0.1814,349
Distance between base and main peak of Trikut Buru?,Relational Geometric Ambiguity,Walking distance along the path," Trikut Buru is a mountain range located in the Indian state of Arunachal Pradesh. The three peaks of Trikut Buru are known as the Eastern, Central, and Western peaks. However, I was not able to find specific information about the distance between the base and the main peak (either central or highest) for Trikut Buru. For accurate information, I recommend consulting a reliable source such as the Survey of India or a reputable mountaineering organization.",hallucinated,119.0537949,0.156,458
How far is peak of Marang Buru from its base?,Relational Geometric Ambiguity,Walking distance not vertical elevation," I don't have real-time data or specific geographical information. However, Mount Marang Buru is a volcanic stratovolcano located in Indonesia. Its height is approximately 2,693 meters (8,835 feet) above sea level, based on 2014 measurements.

To find the distance from the peak to its base, we would need additional information such as the volcano's shape and slope angle. Since these details are not provided, I cannot give an exact answer. In general, the base of a volcano refers to the area arou...",hallucinated,135.4236124,0.2575,503
Is Mansarovar pond near Baidyanathdham temple?,Relational Geometric Ambiguity,Near but not sharing a boundary," No, Mansarovar is not near the Baidyanathdham temple. Mansarovar is a high-altitude freshwater lake located in Tibet Autonomous Region of China, near Mount Kailash. Baidyanathdham, on the other hand, is a Hindu pilgrimage site located in Deoghar, Jharkhand, India. While both are important religious sites for Hindus, they are geographically far apart.",hallucinated,118.417763,0.0864,353
Distance from Dumka Sadar Hospital to Deoghar?,Relational Geometric Ambiguity,Road distance not centroid distance," The distance from Dumka Sadar Hospital in Dumka, Jharkhand, India to Deoghar, which is also in Jharkhand, can be approximately calculated as follows:

- By Road: The road distance between Dumka and Deoghar is about 108 kilometers (67 miles) via NH39. This journey usually takes around 2 hours and 30 minutes, depending on traffic conditions and the mode of transport used.

- By Air: The nearest airport to both locations is Birsa Munda Airport in Ranchi (IXR), which is approximately 158 kilometers...",hallucinated,159.9212904,0.1673,503
Is Trikut Buru next to Marang Buru?,Relational Geometric Ambiguity,Centroid distance less than 15 km but no shared boundary," Trikut Buru and Marang Buru are both islands in Indonesia, but they are not geographically adjacent. Trikut Buru is located in the Maluku Islands, while Marang Buru is part of the Aru Islands, which are further east. The two islands are separated by a significant distance in the Indonesian archipelago.",hallucinated,117.0757558,0.1555,304
Height difference between the three peaks of Trikut Buru?,Relational Geometric Ambiguity,Vertical elevation difference," Trikut Buru, also known as Triquet peak, is a mountain located in the Svalbard archipelago, Norway. While I was unable to find specific information on the exact height difference between its three peaks, I did find out that Trikut Buru's overall height is approximately 1,687 meters (5,534 feet). The three distinct peaks are often referred to as Central peak, North peak, and South peak.

Unfortunately, without more specific data or a reliable source with this information, I cannot provide the ex...",hallucinated,130.3119576,0.394,503
Road distance vs straight-line from Nayapara village to Dumka city centre?,Relational Geometric Ambiguity,Comparison of road distance and Euclidean distance," The road distance between Nayapara village and Dumka city center can vary depending on the specific routes taken, as there might be different roads available. However, if you're asking about the straight-line (as-the-crow-fly) distance, that would be approximately 18 kilometers. But for actual travel purposes, it's recommended to use a GPS or navigation system for the most accurate road distance and directions.",hallucinated,110.8191013,0.3993,415
What is the area of Dumka?,Geometric Result Ambiguity,Area in square kilometres," Dumka is a city and a municipality in the Santhal Parganas division of Jharkhand, India. However, for discussing its geographical area, it would be more accurate to discuss the Dumka district's total area instead.

As of 2011, the Dumka district has a geographical area of 3,654 square kilometers (1,411 sq mi). This information is based on the latest available data and may have changed since then. For the most accurate and up-to-date information, it's best to refer to official sources like gover...",hallucinated,128.7219224,0.3865,503
What is the distance between Dumka and Deoghar?,Geometric Result Ambiguity,Distance in kilometres," The distance between Dumka and Deoghar can vary depending on the exact locations you're referring to, as both are cities in India. However, if you're considering the distance between the district headquarters of Dumka (in Jharkhand) and Deoghar (also in Jharkhand), it is approximately 192 kilometers (or about 119 miles) by road. This distance can be covered in around 4-5 hours, depending on the traffic conditions and the mode of transportation used.",hallucinated,115.4237607,0.3448,454
What is the height of Marang Buru?,Geometric Result Ambiguity,Height in meters," Marang Buru, also known as Gunung Marang Buru, is a mountain in Indonesia located on Halmahera island. However, the exact height or elevation of Marang Buru can vary slightly depending on different sources. According to some sources, it stands at approximately 2,108 meters (6,915 feet) above sea level. But for the most accurate information, it's best to consult a reliable map or reference material.",hallucinated,115.5507934,0.389,402
What is the road distance between Deoghar and Dumka?,Geometric Result Ambiguity,Distance in kilometres using road network," The road distance between Deoghar and Dumka is approximately 185 kilometers (around 115 miles). This distance can vary slightly depending on the exact starting and ending points, as well as the specific route taken.",hallucinated,95.26197863,0.3916,216
What is the road distance between Baidyanathdham and Mansarovar?,Geometric Result Ambiguity,Distance in kilometres not metres," Baidyanathdham is located in India, specifically in Jharkhand state's Deoghar district, while Mansarovar is a lake in China, near Mount Kailash. Direct travel by road is not possible between the two due to geographical reasons. The distances would have to be calculated through air travel and ground transportation at the destination points. However, I don't have real-time data for calculating flight distances or ground transportation between cities. You can find accurate information on various o...",hallucinated,133.0850744,0.2401,503
In which direction of Dumka is Baidyanathdham?,Geometric Result Ambiguity,Cardinal direction not degrees," Baidyanath Dham is located in the Jharkhand state, India, specifically in the Deoghar district. If you are in Dumka, which is also in Jharkhand, you would need to travel towards the southwest to reach Baidyanath Dham. The exact distance is approximately 130 kilometers and the journey can take around 4 hours by road. However, please check the most recent and accurate directions as routes may change due to various factors such as road construction or traffic conditions.",hallucinated,119.5631666,0.0953,473
What is the length of the Trikut Buru trek route?,Geometric Result Ambiguity,Length in kilometres," The Trikut Buru trek, located in the Dibang Valley of Arunachal Pradesh, India, spans approximately 70 kilometers (43.5 miles) over a period of 6-8 days, depending on the pace of the trekkers. However, it's essential to note that this information may vary slightly due to factors such as trail conditions and individual fitness levels. Always consult with a local guide or tour operator for accurate and up-to-date information before embarking on any trek.",hallucinated,121.3510728,0.4105,457
In which direction is Parasnath Hill from Dumka?,Geometric Result Ambiguity,Cardinal direction (SW)," Parasnath Hill is located in the state of Jharkhand, India, and specifically in the district of Deoghar. Dumka is a different district in the same state, approximately 260 kilometers away towards the northwest direction.",hallucinated,95.37480807,-0.0418,221
What is the boundary length of Baidyanathdham temple complex?,Geometric Result Ambiguity,Length in metres," I don't have real-time data or the ability to physically visit locations, so I can't provide an exact measurement of the boundary length of the Baidyanathdham temple complex without up-to-date and specific information. However, the Baidyanathdham temple is a complex located in Deogarh, Jharkhand, India, which includes 12 Shiva lingams known as ""Twelve Jyotirlingas"". The entire temple complex covers an area of approximately 30 acres (12 hectares). To find the exact boundary length, you may need ...",hallucinated,124.7456026,0.3802,503
How big is Mansarovar pond?,Geometric Result Ambiguity,Area in square metres," Mansarovar Lake, located in the autonomous region of Tibet (China) and Uttarakhand (India), is not exactly a pond but a freshwater lake. It has an approximate surface area of about 320 square kilometers (123.5 sq mi). The lake is at an elevation of approximately 4,580 meters (14,960 ft) above sea level and is one of the highest freshwater lakes in the world. It's a significant site for both Hindu and Buddhist pilgrimages.",hallucinated,127.5067942,0.1512,426
"Where is Baidyanathdham, Deoghar?",Semantic Result Ambiguity,Centroid of Baidyanathdham temple complex," Baidyanath Dham, also known as Baba Baidyanath Temple, is located in Deoghar city, in the Jharkhand state of India. It's situated near the town of Aurobindonagar, and it's one of the twelve Jyotirlingas, which are considered to be very holy Hindu temples dedicated to Lord Shiva. The exact coordinates for Baidyanath Dham are:

Latitude: 24.1790° N
Longitude: 86.6839° E",hallucinated,125.2613339,0.6071,373
Where is Trikut Buru?,Semantic Result Ambiguity,Located in Deoghar district," Trikut Buru, also known as Triple Peaks or Three Peaks, is a geographical formation located in the Sikkim region of northeastern India. It's part of the Kanchenjunga Himalayan range and is situated near the Nepal border. The exact coordinates are:

Latitude: 27.4831° N
Longitude: 88.1095° E

It's a popular destination for mountaineers due to its challenging terrain.",hallucinated,126.4633112,0.2813,371
Where is the main gate of Baidyanathdham?,Semantic Result Ambiguity,Primary entrance location," The main gate of Baidyanath Dham, also known as Baba Baidyanath Temple or Naganath-Jyotirlinga, is located in Deoghar, Jharkhand, India. The temple complex is situated near the town of Deoghar and the main gate can be found at the entrance of the temple town itself.",hallucinated,109.9597321,0.3109,267
"What is next to Sadar Hospital, Deoghar?",Semantic Result Ambiguity,Building sharing a boundary with the hospital," Sadar Hospital in Deoghar is located in the heart of the city. The area around it is primarily residential and commercial with several local shops, restaurants, and other establishments. However, specific landmarks or notable structures that are immediately ""next"" to Sadar Hospital might not exist due to its urban context.

Some nearby points of interest include:

1. Baba Baidyanath Dham Temple - a famous Hindu pilgrimage site, located approximately 500 meters north-east from the hospital.
2. T...",hallucinated,146.6045442,0.3158,503
"Which road is next to Baidyanathdham, Deoghar?",Semantic Result Ambiguity,Shankar Road near the main gate," The road next to Baidyanath Dham, Deoghar, is the National Highway 31 (NH31). This highway connects Deoghar with other major cities like Patna and Ranchi. However, within the vicinity of Baidyanath Dham, there are several smaller roads or lanes that lead to different parts of the temple complex and surrounding areas.",hallucinated,116.3806694,0.5624,319
Where is Dumka Sadar Hospital Blood Bank?,Semantic Result Ambiguity,Inside the Dumka Sadar Hospital campus," Dumka Sadar Hospital Blood Bank is located in Dumka, Jharkhand, India. The exact address is:

Dumka Sadar Hospital
Kamaldaspur, Dumka, Jharkhand 815301
India

You can find it on the hospital premises. For more specific directions or updated information, I would recommend contacting the hospital directly or checking their official website.",correct,115.4072073,0.6817,341
Is the Mansarovar pond next to Baidyanathdham?,Semantic Result Ambiguity,Near but not sharing boundary," No, the Mansarovar Pond is not located near Baidyanathdham. Baidyanathdham is a Hindu temple complex dedicated to Lord Shiva and is located in Deoghar, Jharkhand, India. The Mansarovar Lake, on the other hand, is a high-altitude freshwater lake located in Tibet, China, near Mount Kailash. They are two distinct locations that are significant in different religious contexts.",hallucinated,120.6983492,0.0742,376
Is Marang Buru in Dumka?,Semantic Result Ambiguity,Not inside Dumka city but in Dumka district," Marang Buru is not a known location in Dumka, Jharkhand. It might be a typo or a misnamed location. Dumka has several notable places like the Deulgherhi Wildlife Sanctuary, Chandrapur Fort, and Maitha Lake, among others. If Marang Buru is a specific place of interest in Dumka, it may not be widely recognized or could be named differently. I recommend checking maps and local guides for accurate information about the location you're looking for in Dumka.",hallucinated,114.1302137,0.5887,457
What is adjacent to Trikut Buru base?,Semantic Result Ambiguity,Village or road touching the base polygon," Trikut Buru is a mountain peak located in the Andaman and Nicobar Islands, India. The base of Trikut Buru is part of the Teresa Wildlife Sanctuary which is surrounded by the forests of the islands. However, without more specific information, it's difficult to determine exactly what is adjacent to its base. The nearest inhabited area might be Port Blair, the capital city of Andaman and Nicobar Islands. If you're referring to a geographical feature or another peak, I would need more precise detai...",hallucinated,116.1574585,0.3265,503
Which blood bank is inside Dumka Sadar Hospital?,Semantic Result Ambiguity,The blood bank contained in the hospital building," As of my last update, I don't have real-time data to provide the exact information about a specific blood bank located within Dumka Sadar Hospital. However, government hospitals often have their own blood banks and it's best to contact Dumka Sadar Hospital directly or visit their official website for the most accurate information. You can also check local directories or ask locals for assistance.",hallucinated,101.2786016,0.5807,400
