Query,Ambiguity Type,Ground Truth,Prediction,Status,Time,Similarity,Length
Which states border Texas?,Location & Spatial Granularity,"New Mexico, Oklahoma, Arkansas, Louisiana"," Texas is bordered by several U.S. states:

1. Oklahoma to the north
2. Arkansas to the northeast
3. Louisiana to the east
4. Mississippi (through a small portion of its southeastern tip)
5. Alabama (again, through a very small portion in the extreme southwest)
6. Mexico borders Texas to the south and the Gulf of Mexico is to the southeast.",hallucinated,153.6164894,0.5589,342
What are the neighboring countries of Germany?,Location & Spatial Granularity,"Denmark, Poland, Czech Republic, Austria, Switzerland, France, Luxembourg, Belgium, Netherlands",[Ollama error: an error was encountered while running the model: read tcp 127.0.0.1:63852->127.0.0.1:63826: wsarecv: An existing connection was forcibly closed by the remote host. (status code: 500)],hallucinated,191.8554134,-0.0642,199
Which city is the capital of Italy?,Semantic & Temporal,Rome," The capital city of Italy is Rome. Rome, known in Italian as Roma, serves as the political heart of Italy and boasts a rich history that spans over two thousand years. It is one of the oldest continuously inhabited cities in the world and has been a major center for art, architecture, and culture throughout its long history. Famous landmarks in Rome include the Colosseum, the Pantheon, and the Vatican City, which is an independent city-state enclaved within Rome itself and serves as the headqua...",hallucinated,351.0557303,0.6367,503
How many hotels in Belfast are at most 2km from George Best Belfast City Airport?,Relational Ambiguity,"Varies, usually 3-5 major hotels within that radius"," To provide an accurate answer, I would need to access a database that contains the geographical coordinates of hotels and the airport in Belfast. However, as a friendly assistant, I can tell you that there are several hotels within close proximity to George Best Belfast City Airport. A quick online search reveals that many hotels are located within 2km from the airport. For a precise count, I would recommend using a mapping service or consulting with a local travel agency.",hallucinated,374.4525936,0.4724,478
Is Corsica larger than Crete?,Geometric Ambiguity,yes," Yes, Corsica is larger than Crete. Corsica has an area of approximately 8,720 square kilometers (3,368 sq mi), while Crete's area is about 8,336 square kilometers (3,219 sq mi). Corsica is the fourth largest island in the Mediterranean, after Sicily, Sardinia, and Cyprus.",hallucinated,689.304985,0.0228,273
Which rivers flow through more than three countries?,Location & Spatial Granularity,"Danube, Rhine, Drava."," Several significant rivers flow through more than three countries, making them important transboundary waterways. Here are some examples:

1. Nile River: The longest river in the world, the Nile flows through eleven countries in Africa, including Egypt, Sudan, and Uganda.

2. Danube River: Europe's second-longest river, the Danube originates in Germany and flows through Austria, Slovakia, Hungary, Croatia, Serbia, Romania, Bulgaria, Moldova, Ukraine, and eventually empties into the Black Sea.

...",hallucinated,1379.353771,0.485,503
What is the highest mountain in Greece?,Geometric Ambiguity,"Los Angeles, San Francisco, San Diego, Sacramento"," The highest mountain in Greece is Mount Olympus. It has a height of approximately 2,917 meters (9,569 feet) above sea level and is located in the Lefkada regional unit in western Greece. This mountain range was known in ancient Greek mythology as the residence of the twelve Olympian gods.",hallucinated,223.521868,0.0912,290
Which cities are located in the state of California?,Toponymic Ambiguity,"Los Angeles, San Francisco, San Diego, Sacramento"," There are numerous cities located in the state of California. Here's a list of some major cities:

1. Los Angeles
2. San Francisco
3. San Diego
4. Sacramento (the state capital)
5. Long Beach
6. Fresno
7. Santa Ana
8. Anaheim
9. Oakland
10. Riverside
11. Bakersfield
12. San Jose
13. Stockton
14. Irvine
15. Chula Vista
16. Fremont
17. Huntington Beach
18. Santa Clarita
19. Glendale
20. Fontana

This is not an exhaustive list, as California has many more cities and towns of various sizes.",correct,245.2768171,0.6535,492
What are the coordinates of Paris?,Toponymic Ambiguity,"48.8566 N, 2.3522 E"," Cities don't have coordinates in the same way that points on a map do. However, Paris is located at approximately:

- Latitude: 48.856614° N (North)
- Longitude: 2.352222° E (East)

These coordinates are for the center of Paris, specifically the arrondissement numbered 1 (the 1st district). Keep in mind that different parts of a city might have slightly different geographical coordinates due to their location within the overall urban area.",hallucinated,132.7131276,0.2387,446
Which sea borders both Greece and Italy?,Relational Ambiguity,Ionian Sea," The Ionian Sea borders Greece to the west and southwest, and it also borders Italy to the east. This body of water is part of the Mediterranean Sea and is known for its beautiful islands such as Corfu (Greek) and Sicily (Italian). The Strait of Otranto connects the Ionian Sea with the Adriatic Sea, which lies to the northeast of Greece.",correct,126.5507174,0.7216,339
Are there any volcanoes in Italy?,Point-based height geometry,yes," Yes, Italy is home to several active and dormant volcanoes. Some of the most notable ones include:

1. Mount Etna (Sicily) - Europe's most active volcano. It has been continuously erupting for thousands of years.

2. Stromboli (Aeolian Islands) - An active stratovolcano, known for its nearly constant low-level eruptions.

3. Vesuvius (Campania) - Famous for its eruption in 79 AD that buried the Roman cities of Pompeii and Herculaneum. While it has been dormant since 1944, it is still considered...",hallucinated,204.7388737,0.1249,503
What is the elevation of Mount Olympus?,Semantic & Temporal,2917 m," Mount Olympus, located in Greece, has an elevation of approximately 2,917 meters (9,570 feet) at its highest peak, Mytikas (also known as Pinnacle Peak). However, it's important to note that the elevation can vary slightly due to factors like snow accumulation or erosion.",hallucinated,161.7750583,0.0851,273
Which island is the largest in the Mediterranean?,Point-based height geometry,"By Land Area: Sicily (approx. 25,711 ) By Coastline Length: Sardinia (approx. 1,849 km)"," Sicily, which belongs to Italy, is the largest island in the Mediterranean Sea. It is located south of the Italian peninsula and southeast of the island of Sardinia.",correct,145.1538124,0.6864,166
How many bridges are in Venice?,Location & Spatial Granularity,~400 (often cited as 391 or 435)," There are approximately 400 bridges in Venice, Italy. These bridges connect the numerous islands that make up Venice and provide essential transportation throughout the city. Some of the most famous ones include the Rialto Bridge, the Bridge of Sighs, and the Accademia Bridge.",hallucinated,128.2193162,0.1206,278
Which lake is the largest in Europe?,Geometric Ambiguity,"Lake Ladoga, Russia"," The largest lake in Europe is Lake Ladoga, which is located in Russia. It's the biggest lake by area, with an area of approximately 17,700 square miles (46,000 square kilometers). However, it's important to note that Lake Baikal, also in Russia, has the largest volume of fresh water of any lake in the world.",hallucinated,187.9750578,0.6305,310
Average,,,,,278.5072996,0.356164,381.92
